data_id,r,duration,method,dataset
40,0.0920116077568797,,Random,lorenz
41,0.0960209625927795,,Random,lorenz
42,0.0926997991668517,,Random,lorenz
43,0.0975109122404977,,Random,lorenz
44,0.1104355483105135,,Random,lorenz
45,0.1077500706509488,,Random,lorenz
46,0.1008638562433038,,Random,lorenz
47,0.0961110091132755,,Random,lorenz
48,0.1060695487233821,,Random,lorenz
49,0.1045744413344512,,Random,lorenz
0,0.9037517321909804,,MaCo,lorenz
1,0.9351202854798584,,MaCo,lorenz
2,0.8982467109139957,,MaCo,lorenz
3,0.8850560126266416,,MaCo,lorenz
4,0.8891213521340915,,MaCo,lorenz
5,0.9349674077598042,,MaCo,lorenz
6,0.923460794819724,,MaCo,lorenz
7,0.892158861775343,,MaCo,lorenz
8,0.9206476737067212,,MaCo,lorenz
9,0.8719598424244116,,MaCo,lorenz
10,0.9476426224370184,,MaCo,lorenz
11,0.8956809929812565,,MaCo,lorenz
12,0.9590813779765314,,MaCo,lorenz
13,0.913272985819941,,MaCo,lorenz
14,0.9123630660306518,,MaCo,lorenz
15,0.9514875339816076,,MaCo,lorenz
16,0.9165640255391352,,MaCo,lorenz
17,0.9046658140224948,,MaCo,lorenz
18,0.8267757979521376,,MaCo,lorenz
19,0.3085097653694834,,MaCo,lorenz
20,0.9528406733872512,,MaCo,lorenz
21,0.0704022442958042,,MaCo,lorenz
22,0.0947722385165005,,MaCo,lorenz
23,0.9283659742301332,,MaCo,lorenz
24,0.9153447915923382,,MaCo,lorenz
25,0.9495228382029564,,MaCo,lorenz
26,0.927224262436786,,MaCo,lorenz
27,0.9204371376672578,,MaCo,lorenz
28,0.9381670576223478,,MaCo,lorenz
29,0.9274272831220034,,MaCo,lorenz
30,0.9240459054157985,,MaCo,lorenz
31,0.943378821633864,,MaCo,lorenz
32,0.9005551882304625,,MaCo,lorenz
33,0.9313424083787571,,MaCo,lorenz
34,0.9619884242753292,,MaCo,lorenz
35,0.0575356611671761,,MaCo,lorenz
36,0.9483746478925148,,MaCo,lorenz
37,0.9157168593538816,,MaCo,lorenz
38,0.9354947992912788,,MaCo,lorenz
39,0.9204493827121244,,MaCo,lorenz
40,0.9381557866016672,,MaCo,lorenz
41,0.9184005607442718,,MaCo,lorenz
42,0.919165148684114,,MaCo,lorenz
43,0.9093051874914372,,MaCo,lorenz
44,0.5386305661046827,,MaCo,lorenz
45,0.1566192995072446,,MaCo,lorenz
46,0.9488601126883732,,MaCo,lorenz
47,0.0969926548236213,,MaCo,lorenz
48,0.8923568515018645,,MaCo,lorenz
49,0.9235391178648398,,MaCo,lorenz
