,cc_pred,cc_test,x_test,x_past_test,x_pred,Y_1_test,Y_2_test
0,0.10847304,0.8420634702607471,0.31011957055216793,0.6206614601013649,-0.57701457,0.05612832605840291,0.1335829991286955
1,0.32018054,0.5199694378091922,0.6528472542753188,0.31011957055216793,0.5438019,0.1335829991286955,0.3448320172234873
2,0.0040073916,0.975881546100695,0.14000639406522505,0.6528472542753188,-1.1764474,0.3448320172234873,0.3580123883422864
3,0.6455666,0.09202312320271924,0.45951948870335013,0.14000639406522505,-0.104211695,0.3580123883422864,0.8494322388376542
4,0.43557298,0.3266797063705127,0.8017245661155663,0.45951948870335013,0.97961605,0.8494322388376542,0.06625812712427133
5,0.09229944,0.859991700088076,0.18879523835883974,0.8017245661155663,-1.2174584,0.06625812712427133,0.1531972108876412
6,0.35321784,0.4707587933991955,0.49874890955692147,0.18879523835883974,0.029811732,0.1531972108876412,0.39550634108667726
7,-0.00038835406,0.9740976397794526,0.4110593091237959,0.49874890955692147,-0.29204434,0.39550634108667726,0.33315428728999447
8,0.6552284,0.09864889590817434,0.9066005754217519,0.4110593091237959,1.3579379,0.33315428728999447,0.8194597556359717
9,0.33564025,0.3476455087617347,0.038944255075196825,0.9066005754217519,-1.2774304,0.8194597556359717,0.13327081023109702
10,0.06277493,0.8866876895480282,0.10673086917496982,0.038944255075196825,-1.3023616,0.13327081023109702,0.2675458328493842
11,0.39972222,0.3928241441639905,0.32633153983406626,0.10673086917496982,-0.5472275,0.2675458328493842,0.6034737170968737
12,-0.05951059,0.9325305444426807,0.5068579114218846,0.32633153983406626,-0.02702082,0.6034737170968737,0.05563311404762718
13,0.55604315,0.24599182273275777,0.8380852026792709,0.5068579114218846,1.2093029,0.05563311404762718,0.18451671161335223
14,0.17409183,0.7251821831744297,0.1838675678498089,0.8380852026792709,-1.1097926,0.18451671161335223,0.3800858282206409
15,0.12059954,0.7791882768602626,0.4222206899952373,0.1838675678498089,-0.252025,0.3800858282206409,0.45932106321579014
16,0.20230666,0.672689944452681,0.6259308250439595,0.4222206899952373,0.44146985,0.45932106321579014,0.4891005506842049
17,0.07474487,0.8608444477521723,0.2858414800851589,0.6259308250439595,-0.7374011,0.4891005506842049,0.3193894100399667
18,0.34418482,0.4683554961206143,0.6465537202510288,0.2858414800851589,0.5148667,0.3193894100399667,0.6176622972318938
19,-0.012926415,0.9735255380350082,0.15650327224550106,0.6465537202510288,-1.1457895,0.6176622972318938,0.017126637515201205
20,0.6186113,0.1007685224333554,0.501865195785782,0.15650327224550106,0.003895633,0.017126637515201205,0.06328942467417285
21,0.44404626,0.3542801261360504,0.7754230874454269,0.501865195785782,0.9588883,0.06328942467417285,0.1972626049362333
22,0.051197886,0.8944196728665221,0.13376352359874957,0.7754230874454269,-1.3172717,0.1972626049362333,0.34412983491016014
